Lipid composition (molar),node_features,edge,"Salt, M","kappa, kT (q^-4)","Pressure, bar",,"Temperature, K"
100% POPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C3'),('C3A','C1'),('C4A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','C3A'),('C3A','D2A'),('C3A','C4A'),('C4A','C3A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,33.62,1,,310
100% DPPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('C3A','C1'),('C4A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','C3A'),('C3A','C2A'),('C3A','C4A'),('C4A','C3A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,41.25,1,,310
100% DOPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C3'),('C3A','C1'),('C4A','C1'),('C1B','C1'),('D2B','C3'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','C3A'),('C3A','D2A'),('C3A','C4A'),('C4A','C3A'),('C1B','GL2'),('C1B','D2B'),('D2B','C1B'),('D2B','C3B'),('C3B','D2B'),('C3B','C4B'),('C4B','C3B')]",0.15,29.92,1,,310
100% POPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C3'),('C3A','C1'),('C4A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','C3A'),('C3A','D2A'),('C3A','C4A'),('C4A','C3A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,34.33,1,,310
100% DIPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C4'),('D3A','C4'),('C4A','C1'),('C1B','C1'),('D2B','C4'),('D3B','C4'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','D3A'),('D3A','D2A'),('D3A','C4A'),('C4A','D3A'),('C1B','GL2'),('C1B','D2B'),('D2B','C1B'),('D2B','D3B'),('D3B','D2B'),('D3B','C4B'),('C4B','D3B')]",0.15,19.26,1,,310
100% PIPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C4'),('D3A','C4'),('C4A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','D3A'),('D3A','D2A'),('D3A','C4A'),('C4A','D3A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,25.41,1,,310
100% POPE,"[('NH3','Qd'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C3'),('C3A','C1'),('C4A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NH3','PO4'),('PO4','NH3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','C3A'),('C3A','D2A'),('C3A','C4A'),('C4A','C3A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,35.17,1,,310
100% DPSM,"[('NC3','Q0'),('PO4','Qa'),('AM1','P1'),('AM2','P5'),('T1A','C3'),('C2A','C1'),('C3A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','AM1'),('AM1','PO4'),('AM1','AM2'),('AM1','T1A'),('AM2','AM1'),('AM2','C1B'),('T1A','AM1'),('T1A','C2A'),('C2A','T1A'),('C2A','C3A'),('C3A','C2A'),('C1B','AM2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,34.45,1,,310
100% PAPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('D1A','C4'),('D2A','C4'),('D3A','C4'),('D4A','C4'),('C5A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','D1A'),('GL2','GL1'),('GL2','C1B'),('D1A','GL1'),('D1A','D2A'),('D2A','D1A'),('D2A','D3A'),('D3A','D2A'),('D3A','D4A'),('D4A','D3A'),('D4A','C5A'),('C5A','D4A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,20.58,1,,310
100% PAPE,"[('NH3','Qd'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('D1A','C4'),('D2A','C4'),('D3A','C4'),('D4A','C4'),('C5A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NH3','PO4'),('PO4','NH3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','D1A'),('GL2','GL1'),('GL2','C1B'),('D1A','GL1'),('D1A','D2A'),('D2A','D1A'),('D2A','D3A'),('D3A','D2A'),('D3A','D4A'),('D4A','D3A'),('D4A','C5A'),('C5A','D4A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,19.03,1,,310
100% PUPE,"[('NH3','Qd'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('D1A','C4'),('D2A','C4'),('D3A','C4'),('D4A','C4'),('D5A','C4'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NH3','PO4'),('PO4','NH3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','D1A'),('GL2','GL1'),('GL2','C1B'),('D1A','GL1'),('D1A','D2A'),('D2A','D1A'),('D2A','D3A'),('D3A','D2A'),('D3A','D4A'),('D4A','D3A'),('D4A','D5A'),('D5A','D4A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,13.33,1,,310
100% PAPS,"[('CNO','P5'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('D1A','C4'),('D2A','C4'),('D3A','C4'),('D4A','C4'),('C5A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('CNO','PO4'),('PO4','CNO'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','D1A'),('GL2','GL1'),('GL2','C1B'),('D1A','GL1'),('D1A','D2A'),('D2A','D1A'),('D2A','D3A'),('D3A','D2A'),('D3A','D4A'),('D4A','D3A'),('D4A','C5A'),('C5A','D4A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,19.21,1,,310
100% DTPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('C1B','C1'),('C2B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B')]",0.15,20.11,1,,310
100% DLPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('C3A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','C3A'),('C3A','C2A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B')]",0.15,32.8,1,,310
100% DGPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('D3A','C3'),('C4A','C1'),('C5A','C1'),('C1B','C1'),('C2B','C1'),('D3B','C3'),('C4B','C1'),('C5B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','D3A'),('D3A','C2A'),('D3A','C4A'),('C4A','D3A'),('C4A','C5A'),('C5A','C4A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','D3B'),('D3B','C2B'),('D3B','C4B'),('C4B','D3B'),('C4B','C5B'),('C5B','C4B')]",0.15,36.03,1,,310
100% DNPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('C3A','C1'),('D4A','C3'),('C5A','C1'),('C6A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('D4B','C3'),('C5B','C1'),('C6B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','C3A'),('C3A','C2A'),('C3A','D4A'),('D4A','C3A'),('D4A','C5A'),('C5A','D4A'),('C5A','C6A'),('C6A','C5A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','D4B'),('D4B','C3B'),('D4B','C5B'),('C5B','D4B'),('C5B','C6B'),('C6B','C5B')]",0.15,39.68,1,,310
100% PEPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('D3A','C4'),('D4A','C4'),('C5A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','D3A'),('D3A','C2A'),('D3A','D4A'),('D4A','D3A'),('D4A','C5A'),('C5A','D4A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B')]",0.15,30.44,1,,310
100% DYPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C3'),('C3A','C1'),('C1B','C1'),('D2B','C3'),('C3B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','C3A'),('C3A','D2A'),('C1B','GL2'),('C1B','D2B'),('D2B','C1B'),('D2B','C3B'),('C3B','D2B')]",0.15,25.79,1,,310
100% DXPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('C3A','C1'),('C4A','C1'),('C5A','C1'),('C6A','C1'),('C1B','C1'),('C2B','C1'),('C3B','C1'),('C4B','C1'),('C5B','C1'),('C6B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','C3A'),('C3A','C2A'),('C3A','C4A'),('C4A','C3A'),('C4A','C5A'),('C5A','C4A'),('C5A','C6A'),('C6A','C5A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','C3B'),('C3B','C2B'),('C3B','C4B'),('C4B','C3B'),('C4B','C5B'),('C5B','C4B'),('C5B','C6B'),('C6B','C5B')]",0.15,62.89,1,,310
100% DVPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('C2A','C1'),('D3A','C3'),('C4A','C1'),('C1B','C1'),('C2B','C1'),('D3B','C3'),('C4B','C1')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','C2A'),('C2A','C1A'),('C2A','D3A'),('D3A','C2A'),('D3A','C4A'),('C4A','D3A'),('C1B','GL2'),('C1B','C2B'),('C2B','C1B'),('C2B','D3B'),('D3B','C2B'),('D3B','C4B'),('C4B','D3B')]",0.15,36.57,1,,310
100% DFPC,"[('NC3','Q0'),('PO4','Qa'),('GL1','Na'),('GL2','Na'),('C1A','C1'),('D2A','C4'),('D3A','C4'),('D4A','C4'),('C1B','C1'),('D2B','C4'),('D3B','C4'),('D4B','C4')]","[('NC3','PO4'),('PO4','NC3'),('PO4','GL1'),('GL1','PO4'),('GL1','GL2'),('GL1','C1A'),('GL2','GL1'),('GL2','C1B'),('C1A','GL1'),('C1A','D2A'),('D2A','C1A'),('D2A','D3A'),('D3A','D2A'),('D3A','D4A'),('D4A','D3A'),('C1B','GL2'),('C1B','D2B'),('D2B','C1B'),('D2B','D3B'),('D3B','D2B'),('D3B','D4B'),('D4B','D3B')]",0.15,17.81,1,,310
